Описание;Ссылка;Дата;Изображение
Завершился Всероссийский проект «Шеф в школе»!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/231;17 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-17_16-28-46_2.jpg
«Разговоры о важном»: в Движении Первых ответили на популярные вопросы детей и взрослых;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/230;15 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/%D0%A1%D0%BD%D0%B8%D0%BC%D0%BE%D0%BA_eQDoFTc.PNG
Движение Первых открыло уникальное первичное отделение по реверсивному наставничеству;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/229;15 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-13_20-40-02.jpg
Финал Всероссийского спортивного фестиваля Движения Первых состоится в Казани;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/228;12 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_0895_1.jpg
Участники Движения Первых украсили к Дню Победы миллион окон;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/227;09 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-08_10-59-18.jpg
11 участников Движения Первых стали лауреатами Всероссийского конкурса «Без срока давности»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/226;08 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/imgonline-com-ua-CompressBySize-K0IzKQQN9hIK4.jpg
Участники Движения Первых украсили грузовики в память о шоферах-фронтовиках;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/225;08 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-08_12-59-47.jpg
Русский мир поддержал акцию Движения Первых к Дню Победы;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/224;07 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-07_15-27-34.jpg
Связь поколений: участники Движения Первых и ветераны войны украсили «Окна Победы»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/222;06 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/c1-RIuM1v4c.jpg
Движение Первых заключило соглашение о сотрудничестве с общественными объединениями Беларуси;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/223;05 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-05_18-49-17.jpg
Легендарный вокзал и юный герой из Брянска: Акцию Движения Первых «Окна Победы» поддержали в разных уголках страны;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/221;04 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/876A7812.jpg
«Окна Победы»: Акцию «Движения Первых» поддержали государственные и общественные деятели России;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/220;04 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/%D0%9C%D0%B8%D0%BD%D0%BF%D1%80%D0%BE%D1%81.jpg
Делегация «Движения Первых» впервые посетит Республику Беларусь;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/219;04 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/876A5434.jpg
Движение запустило федеральный проект «Сборы Первых» в новых регионах;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/218;02 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/EGN_2125.jpg
Федеральные министерства и ведомства поддержали Всероссийскую акцию РДДМ «Окна Победы»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/217;02 / 05 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-05-02_15-07-16.jpg
Уникальная программа «Движения первых» адаптирует проекты для детей-сирот;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/216;30 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/876A0263.jpg
Саур-Могила, Родина-мать, Алёша: в «Движении Первых» представили трафареты для «Окон Победы»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/215;26 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_1467.JPG
«Движение первых» отправило победителей конкурса «Прогулки по стране» в Тулу по программе «Больше, чем путешествие»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/214;21 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo1681999418_8.jpeg
Координационный совет «Движения первых» в Херсонской области возглавил Владимир Сальдо;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/213;20 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-20_16-10-17.jpg
Новые перспективы для творческой молодежи: ArtMasters и «Движение Первых» подписали соглашение о сотрудничестве;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/212;19 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/2022-12-19_18-02-27_VV_1.jpg
«Движение первых» объявило о старте акции «Окна Победы»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/211;18 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-18_11-48-22.jpg
«Движение первых» объявило о старте отборочного тура на первый слет юных натуралистов;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/210;18 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/%D1%8D%D0%BA%D0%BE%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0_800%D1%85600_%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F_4_1.png
«Движение первых» стало участником форума «Новая философия воспитания»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/209;17 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-14_16-23-45.jpg
Представители РДДМ в УрФО обменялись опытом работы;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/208;17 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/EMD_5428_6.jpg
«Хранители истории»: «Движение первых» благоустроит памятные места;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/207;15 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_1041.JPG
Регистрация на всероссийский интеллектуальный турнир для школьников и студентов колледжей продлена до 27 апреля;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/206;14 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-13_19-26-21.jpg
Юные инспекторы движения Московской области запустили уникальный пряничный марафон ко Дню Победы;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/205;13 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-09_13-28-52.jpg
В честь праздника – космическая музыкальная новинка!;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/203;12 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-12_23-15-17.jpg
«Мы – граждане России!»: «Движение первых» предложило новый подход к вручению первого паспорта;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/202;12 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/3F4A3517.jpg
Первые встретились с одним из самых известных космонавтов в мире;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/204;12 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/FrTRwkGrnUA.jpg
Мастер-классы по оказанию первой помощи, интеллектуальные викторины и танцевальный марафон: «Движение первых» провело День здоровья для всей страны;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/201;07 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-04-07_13-25-02.jpg
«Движение первых» объявляет старт Всероссийского проекта «На связи с природой»;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/200;04 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/1520%D1%85360_1_4_sW89KV7.png
Юные ученые «Движения первых» внесут весомый вклад в российскую науку;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/199;03 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B0_%D0%BD%D0%B0%D1%83%D0%BA%D0%B0-01-01.png
Юных ученых «Движения первых» привлекли к решению прорывных научно-технологических задач;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/198;03 / 04 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/876A6111.jpg
«Движение Первых» и АНО «Сад памяти» подписали соглашение о сотрудничестве;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/197;30 / 03 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/IMG_7609.jpg
В Дагестане участники «Движения Первых» спасли тонущего ребенка;https://xn--90acagbhgpca7c8c7f.xn--p1ai/news/196;30 / 03 / 2023;http://xn--90acagbhgpca7c8c7f.xn--p1ai/media/news/images/photo_2023-03-21_15-20-57.jpg
